Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
"<div id = ""pagetop""> </div>1. Pavee Roads Homes ",https://www.paveepoint.ie/wp-content/uploads/2019/12/NO-FEE-2-NLI-Pavee-Point-family-history.jpg,Source: Pavee Point website photo by Mark Stedman,,"In 2019 I, Michael Collins, along with the Pavee Point Men’s Health Group, began a research project called Pavee Roads Home. This involved researching and documenting important historical information relating to Irish travellers as well as working with genealogist Tony Hennessy from the National Library to research and develop their family trees. The project was supported by Seamus Nolan, Derek Spiers, Brian Fleming, Andy O'Hara, Dublin City Council Culture Company and The National Library.
<br><br>
As part of the project, I researched my family tree. This storymap is a presentation of part of my family tree -- the Collins line. The storymap tells the story of my father, and my father's father, and my father's grandfather, and tells stories of one journey in Michael's family, from Ballinasloe to Cara Park, Coolock.
<div class=""audio-container""><audio src=""media/audio/Michael introduction.m4a"" controls=controls""></audio></div>
<a class= ""go-to"" href=""#pagetop"">Go to top</a>
",8,Hidden,"Kildonan Rd, Finglas West, Dublin 11",53.3910279,-7.2,"11 Kildonan Rd, Northside, Dublin, Ireland",Match,Google,,,,
2. Michael Collins,media/storymap 1.jpg,,,"I was born in Dublin on the 10th of December 1987 to my parents Hughie and Mary Collins.I am a men's health worker at Pavee Point. I married Margaret O'Donnell, and we live in Coolock and have three children--Sophie, Hughie, and Davie Collins. About working on Pavee Roads Home: <blockquote>In conducting this research into our own family histories, we discovered strong connections to the Connacht Rangers. This is something we never knew and reveals a lot about Travellers contribution to society and it really makes me proud.</blockquote>
<div class=""audio-container""><audio src=""media/audio/Michael Collins.m4a"" controls=controls""></audio></div>
<a class= ""go-to"" href=""#pagetop"">Go to top</a>",12,Hidden,"Cara Park, Coolock, Dublin",53.40676424,-6.201582624,,,,,,,
3. Cara Park,,,,"<blockquote>For myself my location has always been Cara Park Coolock </br>
-Michael
</blockquote>
<p class='description'>
Cara Park in Coolock:
<blockquote>When that site was built it was built for the people that lived in Finglas so a lot of the Travellers moved over from Finglas, but that site at that time was in the middle of a wood, it was almost in the middle of a wood, there was no shops there was no, only like a booreen road coming up to it and that's where they built the site for the Travellers in Finglas to move over, and we did, sure we did. Molly, I remember Davy Collins and Molly moving over, me mother and father, to the tigins. But they didn't like it cause it was very isolated and there was no one around and it was very lonesome and they didn't like it and so everyone moved back over to the tigens in Finglas, but some stayed in it and then more people came from England and around the country and that’s why Cara Park is there now, and its over crowded.</br>-Mary Brigid Collins</blockquote></p>
<div class=""audio-container""><audio src=""media/audio/Mary Collins Cara Park Coolock.mp4"" controls=controls""></audio></div>
<a class= ""go-to"" href=""#pagetop"">Go to top</a>",17,Plain,,53.40689819,-6.201582624,,,,,,,
4. Hughie Collins (Michael's Father),media/storymap father .jpg,,,"Hughie Collins was born in St Mary's hospital in Manchester in 1967. He later married Mary Collins in 1987 in Manchester. He spent most of his life living in Cara Park Coolock in the northside of Dublin. He is the father of myself, Lisa, John and Hughie Collins.
<div class=""audio-container""><audio src=""media/audio/Michael_s father.m4a"" controls=controls""></audio></div>
<a class= ""go-to"" href=""#pagetop"">Go to top</a>",17,Plain,,53.40676424,-6.201582624,,,,,,,
5. Nine Mile Road,media/019 Nine Mile Road.jpg,,,"<blockquote>This is the 9 mile road from Edenderry to Rathangan 
and we used to stay along here many years ago and 
we used to work in the bog, we’d call it footing turf. 
Where all the Travellers used to foot the turf in the bog. 
And we used to stay along here on down there one place 
or another there was no trailers that time only wagons.” 
<br>-Biddy Collins</blockquote>
<div class=""audio-container""><audio src=""media/audio/Biddy Collins Nine Mile Road.mp4"" controls=controls""></audio></div>

<blockquote>The nine mile road, well it's out the nine mile road but 
we’d call it the camp at the dump, the dump of Edenderry, 
and it was at the brink of the nine mile road.”
<br>-Mary Brigid</blockquote>
<div class=""audio-container""><audio src=""media/audio/Mary Brigid Nine Mile Road.mp4"" controls=controls""></audio></div>
<a class= ""go-to"" href=""#pagetop"">Go to top</a>",15,Plain,Endenderry to Rathangan,53.280917,-7.026767,,,,,,,
6. Michael Collins (Michael's Grandfather),media/Storymapgrandfather.jpg,,,"My grandfather, and namesake, was born on 2nd January, 1942, in Mullingar, Co. Westmeath. Living in harmony with the settled people at the time, Travellers mended tins and pots for them in exchange for money and food. They also hunted and fished in the area. Michael married Helen (Nelly) McDonagh in Co. Louth on 26th May, 1962. Nelly was born in Co. Louth at Ardee on 30th March, 1943. hey had five daughters - Kathleen, Winnie, Bridgie, Helen, and Mary - and six sons - Michael, Martin, Patrick (Paddy), Davy, John Paul, and Hughie.
<div class=""audio-container""><audio src=""media/audio/Michael_s granfather.m4a"" controls=controls""></audio></div>
<div><a class= ""go-to"" href=""#pagetop"">Go to top</a></div>",,Plain,,53.525932,-7.338138,,,,,,,
7. The Bulls Bridge,media/Bullsbridge.jpg,,,"<blockquote>I'd say meself this is one of the ould bridges so I’d say meself this is where they did the eel fishing, see that black water that type of brownee water you’d ketch pike that size in there Pike lives in dark water.<br>-Hughie Collins.</blockquote>
<div class=""audio-container""><audio src=""media/audio/Quhey collins Bulls bridge.m4a"" controls=controls""></audio></div>

<blockquote>We used to get the water in in there to wash the clothes.<br>-Molly Collins. </blockquote>
<div class=""audio-container""><audio src=""media/audio/Molly Collins Bullsbridge.mp4"" controls=controls""></audio></div>

<blockquote>Molly reckons on both sides of the bridge they’d pull in here and up on the left hand side and nearly a mile up that way, they all only had tents and four wheelers so it wouldn’t take much space to put a tent, it would be no more than a meter a meter and a half wide so you wouldn’t be looking for much there.<br>-Hughie Collins</blockquote><p class = 'description>Below my great grandfather Michael 'Puck' Collins and his great grandmother Biddy Doyle are photgraphed at Bulls Bridge Camp </p>

<div class=""img-container"" style=""height: 300px; max-height: 300px;"">
<img src=""media/michael collins biddy doyle bulls bridge camp offaly.jpg"" controls=""controls""></div><a class= ""go-to"" href=""#pagetop"">Go to top</a>",15,Plain,"The Bulls Bridge, Edenderry",53.36175992,-7.078134092,,,12.97639407,,,,
8. Michael (Puck) Collins (Michael's Great Grand-father),media/GG Grandfather.jpg,,,"Michael Puck Collins was my great grand-father. He was married to Bridget Doyle, and they had seven children - Mary, Biddy, Johnny, Thomas, Hughie, James and Michael). They all lived in Edenderry camps. Michael was buried in Edenderry.
<div class=""audio-container""><audio src=""media/audio/Michael_s great granfather PUK.m4a"" controls=controls""></audio></div>
<div><a class= ""go-to"" href=""#pagetop"">Go to top</a></div>",12,Plain,Edenderry,53.340304,-7.067351,,Match,Google,,,geojson/hartford-post-1897.geojson,color:red;weight:3
9. Pinkeen Road,media/pinkeenrd.jpeg,,,"It was called the Pinkeen Road because of the little Pinkeens on it, in the canal. A Pinkeen is the thing like a tadpole, that turns into a small fish. 
<div class=""audio-container""><audio src=""media/audio/Quhey collins Pinkeen road 1.m4a"" controls=controls""></audio></div>
<div class=""audio-container""><audio src=""media/audio/Quhey collins Pinkeen road 2.m4a"" controls=controls""></audio></div>
<div class=""audio-container""><audio src=""media/audio/Quhey Collins Pinkeen road 3.m4a"" controls=controls""></audio></div>
<blockquote>
That side of the road was all flat along and the wagons would park in longways with the forks facing up the way so when you light the fire you could sit in the mouth of the wagon or the tent and warm up. So each person had their tent or their wagon facing each other with the fire in between. The side of the road was completely flat there's hills there now, they did that in the 70’s or 80’s purposefully to stop the Travellers from pulling in to camp, so this is how the block of cement for the bottom of the pump isn't there, ya wont find it cause it's covered. They'd pull there cause of the wind and that, on both sides ya had the big ditch and it would block the wind from coming in on top of ya. What they used to do and I remember it very clearly, they'd watch for the farmer, there was a farmer down here I think it was the left or the right and he used to come that way and he used to carry the milk, me granny old Biddy would come out with a burner that they made of copper, the farmer would get out and the fresh milk he'd pour it in and fill it for her. The freshest of milk.
I remember bringing me father here 25 years ago and the pump was there and the base was there, then I was back me and my wife about 10 or 12 years ago the pump was gone but the base was there.<br>- Hughie Collins</blockquote><a class= ""go-to"" href=""#pagetop"">Go to top</a>",,Plain,,53.343033,-6.954504,,,,,,,
10. Thomas (the Mousey) COLLINS,media/Rangers.jpg,,,"Thomas Collins, my great great grandfather, was born c.1873. He enlisted 8th Dec. 1892 at Boyle into the 5th Battalion, Connaught Rangers, British Army. He stated that he was 19 years old, a Tinsmith by trade born in Creagh, near Ballinasloe Co. Galway. Later prison records state he was born in Mountbellew Co Roscommon. 5' 3"" high, 'swarthy' complexion, hazel brown eyes, black hair. Had tattoos of the US and Irish flags on his right arm. He transferred in 1895 to the 3rd Battalion, CR and to the 6th Rifle Brigade (Reg. No. 1072) in 1897. He remained in the army until at least July 1901. He was married to Mary McDonagh with whom he had 9 children (Michael, Thomas, Brigid, Mary, Catherine, Julia, Patrick, Anne and Margaret). He died 30 Jan. 1926 at Offaly County Home. He was aged 53.
<div class=""audio-container""><audio src=""media/audio/Thomas mousey Collins.m4a"" controls=controls""></audio></div>
<div><a class= ""go-to"" href=""#pagetop"">Go to top</a></div>",10,Plain,Creagh co.Galway,53.334646,-8.205326,,Match,Google,,,geojson/hartford-post-1897.geojson,"weight:5; fillColor:rgba(0,0,0,0.5)"
